run_id,entity_type,entity_id,compared_source,field_name,bizzy_value,source_value,truth_value,winner,confidence,notes
2026-04-29T17:15:26.809811,company,c001,competitor_a,name,acme analytics,acme analytics bv,acme analytics,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_a,domain,acmeanalytics.com,acmeanalytics.com,acmeanalytics.com,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_a,linkedin_url,https://www.linkedin.com/company/acme-analytics,https://www.linkedin.com/company/acme-analytics,https://www.linkedin.com/company/acme-analytics,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_a,country,BE,BE,BE,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_a,city,brussels,brussels,brussels,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_a,industry,data analytics,business intelligence,data analytics,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_a,employee_count,120,90,120,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_a,revenue_range,10m-50m,,10m-50m,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_b,name,acme analytics,acme analytics,acme analytics,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_b,domain,acmeanalytics.com,acmeanalytics.com,acmeanalytics.com,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_b,linkedin_url,https://www.linkedin.com/company/acme-analytics,https://www.linkedin.com/company/acme-analytics,https://www.linkedin.com/company/acme-analytics,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_b,country,BE,BE,BE,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_b,city,brussels,brussels,brussels,tie,0.7,Values match
2026-04-29T17:15:26.809811,company,c001,competitor_b,industry,data analytics,analytics software,data analytics,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_b,employee_count,120,,120,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c001,competitor_b,revenue_range,10m-50m,1m-10m,10m-50m,bizzy,0.7,Values differ
2026-04-29T17:15:26.809811,company,c002,competitor_a,name,northstar logistics,northstar logistics,northstar logistics,tie,0.7,Values match
